127.0.0.1 - - [25/Dec/2022:16:32:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/Entry HTTP/1.1" 200 37673
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /CSS/fstyle.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/Food%20Delivery%20site%20(Project-1)/CSS/bootstrap.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/bg2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/bg5.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/bg3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/LOGO.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/OFFER2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/OFFER1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/OFFER3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/aboutusimg.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/logosquare.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc6.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc7.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc8.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc9.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc11.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc14.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc12.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc15.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc13.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc16.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc18.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc17.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc20.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc19.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:00 +0530] "GET /Food/images/fc21.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:05 +0530] "GET /Food/images/Ordernowbg1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:11 +0530] "GET /Food/Log-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:11 +0530] "GET /Food/style.css HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [25/Dec/2022:16:33:11 +0530] "GET /Food/logosqure.jpeg HTTP/1.1" 404 774
